Threat_date, Title, Threat_level, Summary, Source
18 Sep 2020 ,Active exploitation of vulnerable MobileIron products,HIGH,The ACSC is aware of active exploitation of vulnerabilities in multiple MobileIron products by malicious cyber actors; including sophisticated state-based actors.,https://www.cyber.gov.au/node/2863
16 Sep 2020 ,Copy-paste compromises,HIGH,The Australian Government is aware of; and responding to; a sustained targeting of Australian governments and companies by a sophisticated state-based actor. The title ‘Copy-paste compromises’ is derived from the actor’s heavy use of tools copied almost identically from open source.,https://www.cyber.gov.au/node/2648
13 Aug 2020 ,Phone scams impersonating Australian businesses and government agencies,HIGH,Cybercriminals are spoofing Australian mobile numbers and pretending to be from an Australian Government agency; delivery company or business; manipulating the individual to gain access to their device.,https://www.cyber.gov.au/node/2811
02 Aug 2020 ,Ransomware targeting Australian aged care and healthcare sectors,CRITICAL,ACSC is aware of increasing targeting of healthcare; including hospitals and aged care; by ransomware campaigns undertaken by cyber criminals. ,https://www.cyber.gov.au/node/2749
16 Jul 2020 ,Increasing reports of myGov-related SMS and email scams targeting Australians,HIGH,Be on the lookout for myGov-related SMS and email scams asking you to verify your myGov details. ,https://www.cyber.gov.au/node/2723
15 Jul 2020 ,Remote code execution vulnerability in Windows DNS (CVE-2020-1350),CRITICAL,On 14 July 2020; Microsoft acknowledged a critical remote code execution vulnerability in Windows Domain Name System (DNS); which could allow an adversary to run arbitrary code.,https://www.cyber.gov.au/node/2725
14 Jul 2020 ,Critical vulnerability for SAP NetWeaver Application Server (CVE-2020-6287),CRITICAL,On 13 July 2020 (United States EST); enterprise resource planning provider SAP released a security patches for a critical vulnerability affecting the Java component LM Configuration Wizard within the SAP NetWeaver Application Server. ,https://www.cyber.gov.au/node/2721
06 Jul 2020 ,TMUI remote code execution vulnerability - CVE-2020-5902,MEDIUM,The ACSC advises users of F5’s enterprise and data centre BIG-IP products to ensure their systems are promptly patched after the recent disclosure of new remote code execution vulnerability.,https://www.cyber.gov.au/node/2712
25 May 2020 ,DDoS threats being made against Australian organisations,HIGH,The Australian Signals Directorate's Australian Cyber Security Centre (ACSC) is aware of a number of Denial of Service (DoS) for ransom threats being made against Australian organisations; primarily in the banking and finance sector.,https://www.cyber.gov.au/node/1568
22 May 2020 ,2019-126: Vulnerable version of Telerik UI being actively exploited by APT actor,HIGH,The Australian Cyber Security Centre (ACSC) has become aware that Advanced Persistent Threat (APT) actors have been scanning for and attempting exploitation against unpatched versions of Telerik UI for ASP.NET AJAX using publicly available exploits. Successful exploitation could allow an attacker to upload files to the vulnerable server to facilitate further compromise.,https://www.cyber.gov.au/node/1809
22 May 2020 ,COVID-19 malicious cyber activity,HIGH,Malicious cyber actors are actively targeting individuals and Australian organisations with COVID-19 related scams and phishing emails. These incidents are likely to increase in frequency and severity over the coming weeks and months. This is due; in part; to the ease in which existing scam emails and texts can be modified with a COVID-19 theme. ,https://www.cyber.gov.au/node/1557
22 May 2020 ,Active exploitation of vulnerability in Microsoft Internet Information Services,HIGH,The Australian Signals Directorate’s Australian Cyber Security Centre (ACSC) is aware that sophisticated actors are actively exploiting a deserialisation vulnerability existing in all versions of Microsoft’s Internet Information Services (IIS) using the .NET framework (.NET). The vulnerability exploits the service’s VIEWSTATE parameter to allow for remote code execution by unauthorised users.,https://www.cyber.gov.au/node/2688
20 May 2020 ,Summary of Tradecraft Trends for 2019-20,MEDIUM,The Australian Cyber Security Centre (ACSC) investigated and responded to numerous cyber security incidents during 2019 and 2020 so far.,https://www.cyber.gov.au/node/2700
08 May 2020 ,Advanced Persistent Threat (APT) actors targeting Australian health sector organisations and COVID-19 essential services,HIGH,The Australian Signals Directorate’s (ASD) Australian Cyber Security Centre (ACSC) is aware that Advanced Persistent Threat (APT) actors are actively targeting health sector organisations and medical research facilities. ,https://www.cyber.gov.au/node/2543
16 Apr 2020 ,Sextortion email campaign impacting Australians,HIGH,A large number of Australians are being impacted by an email ‘sextortion’ campaign in which the cyber scammers responsible have threatened to release personal and sensitive information to the recipients’ contacts unless the scammer is paid in cash or bitcoin.,https://www.cyber.gov.au/node/2555
06 Feb 2020 ,2020-003: Mailto ransomware incidents,HIGH,The Australian Signals Directorate’s Australian Cyber Security Centre (ACSC) is aware of recent ransomware incidents involving a ransomware tool known as ‘Mailto’ or ‘Kazakavkovkiz’. Mailto belongs to the KoKo ransomware family.,https://www.cyber.gov.au/node/1790
29 Jan 2020 ,Processors can be exploited by Meltdown and Spectre vulnerabilities,HIGH,Security researchers have developed methods involving speculative execution to read kernel memory from user space on a variety of processors from a range of vendors produced in the last decade. These methods have been referred to as Meltdown and Spectre.,https://www.cyber.gov.au/node/2640
15 Jan 2020 ,2020-002: Critical vulnerabilities for Microsoft Windows,CRITICAL,On 15 January 2020 (AEDT); Microsoft released security patches for three critical and one important vulnerabilities in the Microsoft Remote Desktop Client; Remote Desktop Gateway and the Windows operating system. The ACSC recommends that users of these products apply patches urgently to prevent malicious actors from using these vulnerabilities to compromise your network.,https://www.cyber.gov.au/node/1792
13 Jan 2020 ,Active exploitation of critical vulnerability in Citrix Application Delivery Controller and Citrix Gateway,CRITICAL,The Australian Signals Directorate’s Australian Cyber Security Centre (ACSC) is aware of ongoing attempts to exploit a critical vulnerability in Citrix Application Delivery Controller (ADC) (formerly known as NetScaler ADC); Citrix Gateway (formerly known as NetScaler Gateway) and Citrix SD-WAN WANOP.,https://www.cyber.gov.au/node/1794
13 Dec 2019 ,Australia Post SMS scam targeting Australians,HIGH,With millions of parcel deliveries expected around the country; Australia Post is seeing widespread scam text (SMS) messages being sent to people; using their brand.,https://www.cyber.gov.au/node/1931
08 Nov 2019 ,2019-131a: Emotet malware campaign,HIGH,The Australian Signals Directorate’s Australian Cyber Security Centre (ACSC) has observed an ongoing and widespread campaign of malicious emails designed to spread Emotet across a variety of sectors in the Australian economy; including critical infrastructure providers and government agencies.,https://www.cyber.gov.au/node/1796
01 Oct 2019 ,2019-129: File disclosure vulnerability in Pulse Connect Secure VPN Software,HIGH,The Australian Signals Directorate’s Australian Cyber Security Centre is aware of a vulnerability that exists in the Pulse Connect Secure Virtual Private Network (VPN) solution.,https://www.cyber.gov.au/node/1798
05 Aug 2019 ,2019-130: Password spray attacks,HIGH,The Australian Cyber Security Centre (ACSC) is aware of a high volume of ongoing password spray attacks targeting Australian organisations. ,https://www.cyber.gov.au/node/1800
30 Jul 2019 ,ICS-CERT Alerts,HIGH,Link to ICS-CERT alerts from the US Department of Homeland Security,https://www.cyber.gov.au/node/1823
24 Jul 2019 ,Sextortion campaign,HIGH,The Australian Cyber Security Centre (ACSC) is aware of a sextortion scam email campaign targeting the Australian community. ,https://www.cyber.gov.au/node/1802
03 Jul 2019 ,2019-009: Securing unprotected network and data services,HIGH,The Australian Cyber Security Centre (ACSC); the cyber defensive component of the Australian Signals Directorate (ASD); has observed a large number of unprotected network and database/storage services hosted on Australian Internet Protocol (IP) address ranges.
,https://www.cyber.gov.au/node/1805
06 Jun 2019 ,Microsoft Windows security vulnerability – ‘BlueKeep’ (CVE-2019-0708),HIGH,CVE-2019-0708; also known as ‘BlueKeep’ leaves users open to attack from malicious actors who can exploit a vulnerability via Remote Desktop Services (RDS) on legacy versions of the Windows operating system. ,https://www.cyber.gov.au/node/1807
06 May 2019 ,Microsoft SharePoint CVE-2019-0604,MEDIUM,The ACSC is aware of malicious cyber actors successfully exploiting a Microsoft SharePoint vulnerability in order to implant web shells on compromised hosts.,https://www.cyber.gov.au/node/2662
15 Mar 2019 ,773M accounts affected by 'Collection #1' breach,MEDIUM,The Australian Cyber Security Centre (ACSC) is aware of a significant data breach affecting 773 million email addresses and usernames.,https://www.cyber.gov.au/node/2708
29 Sep 2018 ,Facebook security issue affects 50M user accounts,MEDIUM,The ACSC is aware of a security issue affecting 50 million Facebook user accounts whereby a flaw in the 'View As' feature allowed attackers to steal Facebook access tokens; which could be used to take over user's accounts. Access tokens are the equivalent of digital keys that allow users to remain logged into Facebook.,https://www.cyber.gov.au/node/2705
01 Jul 2018 ,Vulnerability in the Drupal content management system,CRITICAL,The ACSC has become aware of a critical vulnerability in the Drupal content management system. This potentially allows attackers to exploit multiple attack vectors on a Drupal site; which could result in the site being completely compromised.,https://www.cyber.gov.au/node/1813
25 May 2018 ,VPNFilter malware,HIGH,Australian users need to be aware of VPNFilter malware. ,https://www.cyber.gov.au/node/1820
17 Apr 2018 ,Routers targeted: Cisco Smart Install feature continues to be targeted by Russian state-sponsored actors,HIGH,Russian state-sponsored actors are responsible for activity targeting Cisco devices using the Smart Install feature worldwide; including Australia.,https://www.cyber.gov.au/node/1818
29 Jun 2017 ,Petya ransomware campaign impacting organisations globally,HIGH,The ACSC is aware of a global ransomware campaign; Petya. Ransomware is malicious software that makes data or systems unusable until the victim makes a payment.,https://www.cyber.gov.au/node/2545
15 Nov 2015 ,Web shells being used as attack vectors on networks,HIGH,This alert highlights the frequent use of web shells as an exploitation vector. Web shells can be used to leverage unauthorised access and can lead to wider network compromise. ,https://www.cyber.gov.au/node/1253
